outcome,prediction
0,0.038784828
0,0.038768295
0,0.038754381
0,0.038729601
0,0.03857458
0,0.038554348
0,0.038474835
0,0.038426019
0,0.038371436
0,0.038339164
0,0.038321756
0,0.03825812
0,0.038185943
0,0.038089845
0,0.038024746
0,0.038008898
0,0.03800825
0,0.037989069
0,0.037841178
0,0.037830345
0,0.037830189
0,0.037810199
0,0.037766591
0,0.037763055
0,0.037733734
0,0.03766292
0,0.0376601
0,0.037657853
0,0.037655104
0,0.037554875
0,0.037550539
0,0.037487566
0,0.037423756
0,0.037394069
0,0.037351198
0,0.037336517
0,0.037144117
0,0.037102375
0,0.03702886
0,0.036885735
0,0.036848459
0,0.036812808
0,0.036776241
0,0.03670302
0,0.036624487
0,0.036578666
0,0.036565579
0,0.036466148
0,0.036460891
0,0.036416117
0,0.036399387
0,0.036334191
0,0.03630678
0,0.036299091
0,0.036287431
0,0.036277659
0,0.036256094
0,0.036219183
0,0.03616982
1,0.036143731
0,0.036059927
0,0.035950601
0,0.035866901
0,0.035822965
0,0.035811365
0,0.035669561
0,0.035643604
0,0.035576787
0,0.035559099
0,0.035316788
0,0.035210211
0,0.035163242
0,0.035133872
0,0.035133731
0,0.035130095
0,0.034998965
0,0.034938775
0,0.034899801
0,0.034896888
0,0.034722541
0,0.034623712
0,0.034603138
0,0.034562312
0,0.034491844
1,0.034397069
0,0.034366217
0,0.034318652
0,0.034312885
0,0.034268681
0,0.034230489
0,0.034230489
0,0.034205072
1,0.034153614
0,0.034038972
0,0.034019649
0,0.034000285
0,0.033977911
0,0.033801772
0,0.033633694
0,0.033626821
0,0.033624448
0,0.033532485
0,0.033526842
0,0.033514466
0,0.033472713
0,0.033455547
0,0.033397391
