,outcome,prediction
459,1,0.397223622
460,1,0.388294339
461,1,0.387398034
462,1,0.38573423
463,1,0.385047644
464,1,0.382316977
465,0,0.381084323
466,1,0.379713565
467,1,0.377371907
468,0,0.375030816
469,0,0.373039126
470,1,0.368209779
471,1,0.363738328
472,1,0.362114519
473,1,0.361887246
474,1,0.35694924
475,1,0.356338382
476,1,0.356323779
477,1,0.353315413
478,1,0.348732919
479,1,0.344715863
480,1,0.335124016
481,1,0.332989722
482,1,0.33273834
483,1,0.329877883
484,1,0.326259881
485,1,0.324224681
486,0,0.320205152
487,1,0.320205152
488,1,0.320205152
489,0,0.320205152
490,0,0.320205152
491,1,0.320205152
492,1,0.320205152
493,0,0.320205152
494,1,0.316443592
495,1,0.31599921
496,0,0.315907866
497,1,0.315907866
498,1,0.315478057
499,0,0.314843744
500,0,0.314843744
501,0,0.314570218
502,1,0.31194213
503,0,0.307595044
504,0,0.307595044
505,1,0.307595044
506,1,0.30465588
507,1,0.304325283
508,0,0.304325283
509,1,0.298594803
510,1,0.297334045
511,0,0.296151668
512,1,0.29310596
513,1,0.291284978
514,0,0.291284978
515,0,0.291284978
516,0,0.291284978
517,1,0.290910363
518,1,0.284345388
519,1,0.281046152
520,0,0.281046152
521,1,0.279873788
522,0,0.278524429
523,0,0.278268278
524,0,0.278241277
525,0,0.278241277
526,0,0.278241277
527,0,0.273805439
528,0,0.273117244
529,0,0.271788627
530,0,0.270224035
531,0,0.266258478
532,0,0.264188379
533,1,0.263765693
534,1,0.263432384
535,0,0.261475891
536,0,0.261475891
537,1,0.260359764
538,0,0.260359764
539,1,0.260359764
540,0,0.260359764
541,0,0.258962214
542,0,0.25867489
543,0,0.255369782
544,0,0.252968103
545,1,0.252731085
546,1,0.251906604
547,1,0.25176543
548,0,0.247131869
549,0,0.246667877
550,1,0.246295393
551,1,0.245199159
552,0,0.244651392
553,1,0.242898941
554,0,0.239538997
555,0,0.239538997
556,0,0.239538997
557,0,0.239538997
558,1,0.237803891
559,0,0.237803891
560,0,0.237803891
561,0,0.237803891
562,0,0.237675011
563,0,0.233985871
564,0,0.230852753
565,1,0.230852753
566,0,0.230852753
567,0,0.230852753
568,0,0.230222568
569,0,0.227113083
570,0,0.225170106
571,0,0.223658398
572,0,0.222404972
573,1,0.220045611
574,0,0.219269574
575,1,0.218793303
576,1,0.217413977
577,1,0.217389554
578,0,0.217052087
579,0,0.217003003
580,1,0.217003003
581,0,0.217003003
582,0,0.216578439
583,0,0.216148287
584,0,0.213947028
585,0,0.212604284
586,1,0.211983785
587,0,0.211345077
588,0,0.210681766
589,0,0.210681766
590,0,0.210681766
591,0,0.210580885
592,1,0.208716094
593,0,0.208623782
594,0,0.208436191
595,0,0.207713693
596,1,0.207713693
597,1,0.20569016
598,0,0.205344453
599,1,0.204983965
600,0,0.204959348
601,1,0.204959348
602,0,0.204959348
603,0,0.199189037
604,0,0.198720917
605,0,0.198245972
606,1,0.19685863
607,0,0.196291521
608,0,0.195216179
609,1,0.189733028
610,1,0.189039364
611,1,0.18757616
612,0,0.186410204
613,0,0.186312422
614,0,0.18596302
615,1,0.185798183
616,0,0.184199587
617,0,0.183542177
618,0,0.183501571
619,1,0.182176769
620,1,0.182176769
621,1,0.181209326
622,0,0.180794284
623,0,0.180266097
624,0,0.17999284
625,0,0.179443866
626,0,0.179285794
627,0,0.178534597
628,1,0.177483395
